2804:741c:6100::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6180::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6200::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6280::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6300::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6380::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6400::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6480::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6500::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6580::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6600::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6680::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6700::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6780::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6800::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6880::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6900::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6980::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6a00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6a80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6b00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6b80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6c00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6c80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6d00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6d80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6e00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6e80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6f00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:6f80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7000::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7080::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7100::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7180::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7200::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7280::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7300::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7380::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7400::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7480::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7500::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7580::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7600::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7680::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7700::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7780::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7800::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7880::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7900::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7980::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7a00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7a80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7b00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7b80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7c00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7c80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7d00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7d80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7e00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7e80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7f00::/41,BR,BR-RS,Caxias do Sul,
2804:741c:7f80::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8000::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8080::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8100::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8180::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8200::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8280::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8300::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8380::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8400::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8480::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8500::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8580::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8600::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8680::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8700::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8780::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8800::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8880::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8900::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8980::/41,BR,BR-RS,Caxias do Sul,
2804:741c:8a00::/41,BR,BR-RS,Caxias do Sul,
